firstname,lastname,yeargroup,classname,house,gender
Test,Student01,Year 1,1A,Blue,M
Test,Student02,Year 1,1B,Green,Female
Test,Student03,Year 1,1A,Yellow,B
Test,Student04,Year 1,1B,Red,Girl
Test,Student05,Year 1,1A,Blue,M
Test,Student06,Year 1,1B,Green,Female
Test,Student07,Year 1,1A,Yellow,B
Test,Student08,Year 2,2A,Red,Girl
Test,Student09,Year 2,2B,Blue,M
Test,Student10,Year 2,2A,Green,Female
Test,Student11,Year 2,2B,Yellow,B
Test,Student12,Year 2,2A,Red,Girl
Test,Student13,Year 2,2B,Blue,M
Test,Student14,Year 2,2A,Green,Female
Test,Student15,Year 3,3A,Yellow,B
Test,Student16,Year 3,3B,Red,Girl
Test,Student17,Year 3,3A,Blue,M
Test,Student18,Year 3,3B,Green,Female
Test,Student19,Year 3,3A,Yellow,B
Test,Student20,Year 3,3B,Red,Girl
Test,Student21,Year 3,3A,Blue,M
Test,Student22,Year 4,4A,Green,Female
Test,Student23,Year 4,4B,Yellow,B
Test,Student24,Year 4,4A,Red,Girl
Test,Student25,Year 4,4B,Blue,M
Test,Student26,Year 4,4A,Green,Female
Test,Student27,Year 4,4B,Yellow,B
Test,Student28,Year 4,4A,Red,Girl
Test,Student29,Year 5,5A,Blue,M
Test,Student30,Year 5,5B,Green,Female
Test,Student31,Year 5,5A,Yellow,B
Test,Student32,Year 5,5B,Red,Girl
Test,Student33,Year 5,5A,Blue,M
Test,Student34,Year 5,5B,Green,Female
Test,Student35,Year 6,6A,Yellow,B
Test,Student36,Year 6,6B,Red,Girl
Test,Student37,Year 6,6A,Purple,M
Test,Student38,Year 6,6B,Green,
Test,Student39,Year 6,6A,Yellow,B
Test,Student40,Year 6,6B,Red,Girl
Test,Student05,Year 1,1A,Blue,M
